gene,PCC_slice1,PCC_slice2,mean_PCC
ANGPT2,0.22846348178955472,0.23610423910619227,0.2322838604478735
SDC4,0.21195261010788335,0.25228650994774776,0.23211956002781556
TAC1,0.22510945552999542,0.23683152152084755,0.23097048852542149
PIM1,0.22925340692293006,0.23177183986467706,0.23051262339380357
IL3RA,0.22338673098990916,0.23659116044479686,0.229988945717353
SVIL,0.2150102756228239,0.24124727539109317,0.22812877550695854
TIGIT,0.22788959348949286,0.22728450378884363,0.22758704863916823
SEC11C,0.19981607770592377,0.25305152069141523,0.22643379919866952
DMKN,0.19925715703891586,0.2503566982266858,0.22480692763280086
AVPR1A,0.2265001504717452,0.2228206473693901,0.22466039892056766
QARS,0.21820473437582405,0.2301214364752788,0.2241630854255514
ELF5,0.21019055549253393,0.23776839453254972,0.22397947501254184
PIGR,0.216856077514799,0.23060587071932712,0.22373097411706305
STC1,0.20530185368227144,0.24000838246485634,0.2226551180735639
SPIB,0.21143599404176613,0.22936837043459207,0.2204021822381791
HOXD8,0.21295879157773448,0.22635576034558252,0.21965727596165852
HMGA1,0.20444471448151194,0.2327595808393284,0.2186021476604202
KLRD1,0.20921386632461564,0.22750868883827285,0.21836127758144425
CD8B,0.21294878825450334,0.22048262928139659,0.21671570876794996
DERL3,0.21332622984543312,0.2174636510959776,0.21539494047070534
HAVCR2,0.21472040711667104,0.2137790545603204,0.21424973083849572
PCOLCE,0.20841580800774948,0.21702429393761996,0.2127200509726847
ESM1,0.2153631797753963,0.20674049084391488,0.2110518353096556
CTSG,0.19312356794551686,0.22727171963142204,0.21019764378846945
ALDH1A3,0.21339402161085086,0.2059085207977441,0.2096512712042975
HPX,0.18524313314197652,0.2210328435521703,0.20313798834707342
SEC24A,0.19972805674583688,0.19647280575534448,0.19810043125059068
EGFL7,0.19527270929045254,0.1969725326319361,0.19612262096119432
POLR2J3,0.18403601081888743,0.20097298354944973,0.19250449718416857
BACE2,0.19319476509728278,0.1905015436448002,0.1918481543710415
FOXC2,0.17686582239090015,0.20467356793997638,0.19076969516543826
CPA3,0.17925339421525766,0.20220191776635738,0.19072765599080752
HDC,0.1847027250114862,0.19606625650663234,0.19038449075905928
MKI67,0.1856804238839362,0.19085483845179796,0.1882676311678671
LARS,0.18519389048398016,0.19126703827301605,0.1882304643784981
ACTG2,0.1727298837237839,0.19771273400780692,0.1852213088657954
ITGAM,0.1900459842243291,0.17975545923470557,0.18490072172951733
CD19,0.17841826104581177,0.1877576092818203,0.18308793516381605
CCPG1,0.17954781617165955,0.185247394395727,0.18239760528369325
TPSAB1,0.1744085773500275,0.18788480303716323,0.18114669019359536
KLRC1,0.1723613721980097,0.18814382877413408,0.1802526004860719
FCER1A,0.1880836960308368,0.17152001057664099,0.17980185330373888
PRF1,0.16838327931118388,0.18665971407813284,0.17752149669465836
LEP,0.12421889521979149,0.2187170661059836,0.17146798066288754
RAPGEF3,0.16138085633268898,0.1756795020248078,0.1685301791787484
CD83,0.15719984968194553,0.178550103138184,0.16787497641006477
FAM49A,0.17220536572938375,0.16120240647932566,0.16670388610435471
TCEAL7,0.1612476792798766,0.17095090581112665,0.16609929254550163
CLDN5,0.15416324068451168,0.17317184694013962,0.16366754381232565
AKR1C1,0.15371604889418364,0.17295664523757323,0.16333634706587843
